1.56656	1.14462	281.455	331.562	2024.17	2384.53	0.00486872
1.56673	1.14463	281.301	331.368	2023.08	2383.16	0.00484919
1.62519	1.1416	273.516	318.458	1959	2280.88	0.00481256
1.56677	1.14464	281.452	331.552	2024.17	2384.49	0.00485016
1.56676	1.14464	281.464	331.577	2024.26	2384.67	0.00485237
1.62537	1.14159	273.591	318.537	1959.49	2281.4	0.00481184
1.56673	1.14464	281.402	331.499	2023.81	2384.11	0.00485793
1.56671	1.14463	281.426	331.515	2023.98	2384.22	0.00486132
1.62539	1.14158	273.564	318.502	1959.29	2281.14	0.00480823
1.56666	1.14463	281.499	331.593	2024.5	2384.77	0.00486688
1.56663	1.14462	281.498	331.592	2024.48	2384.75	0.0048712
1.62536	1.14158	273.568	318.493	1959.31	2281.06	0.00480374
1.5666	1.14461	281.426	331.51	2023.94	2384.13	0.00487538
1.56656	1.1446	281.444	331.532	2024.06	2384.27	0.00488099
1.62533	1.14156	273.521	318.444	1958.95	2280.7	0.00480222
1.56653	1.14459	281.446	331.537	2024.05	2384.28	0.00488483
1.5665	1.14458	281.448	331.544	2024.05	2384.31	0.0048884
1.62531	1.14155	273.551	318.485	1959.14	2280.96	0.00480248
1.56647	1.14457	281.459	331.558	2024.1	2384.39	0.00489222
1.56645	1.14455	281.449	331.547	2024.01	2384.28	0.00489544
1.62529	1.14153	273.556	318.495	1959.15	2281	0.00480063
1.56641	1.14454	281.469	331.572	2024.13	2384.44	0.00489861
1.56639	1.14453	281.466	331.567	2024.09	2384.37	0.00490109
1.62527	1.14151	273.569	318.511	1959.21	2281.07	0.00479753
1.56637	1.14452	281.446	331.539	2023.92	2384.15	0.0049043
1.56635	1.14451	281.464	331.551	2024.03	2384.21	0.00490727
1.62526	1.14149	273.579	318.516	1959.25	2281.07	0.00479523
1.56633	1.14449	281.447	331.521	2023.88	2383.96	0.00491012
1.56631	1.14448	281.402	331.461	2023.54	2383.51	0.00491221
1.62525	1.14147	273.458	318.362	1958.36	2279.93	0.00479512
1.5663	1.14447	281.37	331.416	2023.29	2383.16	0.00491516
1.56628	1.14446	281.406	331.446	2023.53	2383.36	0.00491762
1.62526	1.14145	273.475	318.366	1958.45	2279.93	0.00479498
1.56627	1.14446	281.413	331.445	2023.57	2383.34	0.00491916
1.56625	1.14445	281.292	331.295	2022.69	2382.25	0.00492054
1.62525	1.14144	273.332	318.185	1957.4	2278.61	0.00479526
1.56624	1.14445	281.379	331.386	2023.31	2382.89	0.00492202
1.56623	1.14444	281.414	331.419	2023.56	2383.12	0.00492346
1.62524	1.14144	273.519	318.383	1958.75	2280.03	0.00479456
